,tactic_href,Overall WIN %,Overall LOSS %,Overall DRAW %,Overall POINTS PER GAME,Overall MATCHES WON,Overall MATCHES LOST,Overall MATCHES DRAW,Overall TOTAL POINTS,Overall GOAL SCORED,Overall GOAL PER MATCH,Overall GOAL CONCEDED,Overall CONCEDED PER MATCH,Overall GOAL DIFFERENCE,Subtop WIN %,Subtop LOSS %,Subtop DRAW %,Subtop POINTS PER GAME,Subtop MATCHES WON,Subtop MATCHES LOST,Subtop MATCHES DRAW,Subtop TOTAL POINTS,Subtop GOAL SCORED,Subtop GOAL PER MATCH,Subtop GOAL CONCEDED,Subtop CONCEDED PER MATCH,Subtop GOAL DIFFERENCE,Underdog WIN %,Underdog LOSS %,Underdog DRAW %,Underdog POINTS PER GAME,Underdog MATCHES WON,Underdog MATCHES LOST,Underdog MATCHES DRAW,Underdog TOTAL POINTS,Underdog GOAL SCORED,Underdog GOAL PER MATCH,Underdog GOAL CONCEDED,Underdog CONCEDED PER MATCH,Underdog GOAL DIFFERENCE,download_href,Author,Name,Formation,Game Version,Date Tested
0,https://beta.fm-base.co.uk/tactics/22.4.1/4141-goal-machine-223-zaz-blue-40-tweak-581905-6148,68.13,15.00,16.88,2.21,109,24,27,354,461,2.88,236,1.48,225,75.00,8.75,16.25,2.41,60,7,13,193,249,3.11,94,1.18,155,61.25,21.25,17.50,2.01,49,17,14,161,212,2.65,142,1.77,70,https://fm-base.co.uk/resources/6148/download?file=581905,Will1981,4141 Goal Machine 22.3 (ZaZ - Blue 4.0 Tweak),4-1-4-1,22.4.1,27 February 2022
1,https://beta.fm-base.co.uk/tactics/22.4.1/stephenhk-shaolin-433-v2-576319-6031,65.63,20.00,14.37,2.11,105,32,23,338,452,2.83,242,1.51,210,73.75,15.00,11.25,2.33,59,12,9,186,235,2.94,101,1.26,134,57.50,25.00,17.50,1.90,46,20,14,152,217,2.71,141,1.76,76,https://fm-base.co.uk/resources/6031/download?file=576319,fc.cadoni,StephenHK - SHAOLIN 433 v2,4-1-2-3,22.4.1,16 January 2022
2,https://beta.fm-base.co.uk/tactics/22.4.1/diamond-destroyer-zaz-blue-dm-martin-snoop-433-hybrid-578321-6073,62.50,17.50,20.00,2.08,100,28,32,332,394,2.46,198,1.24,196,66.25,13.75,20.00,2.19,53,11,16,175,215,2.69,94,1.18,121,58.75,21.25,20.00,1.96,47,17,16,157,179,2.24,104,1.30,75,https://fm-base.co.uk/resources/6073/download?file=578321,Will1981,Diamond Destroyer (ZaZ - Blue DM - Martin Snoop 433 Hybrid),4-1-2-1-2,22.4.1,29 January 2022
3,https://beta.fm-base.co.uk/tactics/22.4.1/hiding-in-the-shadows-579255-6090,64.38,21.25,14.37,2.08,103,34,23,332,396,2.48,216,1.35,180,76.25,13.75,10.00,2.39,61,11,8,191,226,2.83,85,1.06,141,52.50,28.75,18.75,1.76,42,23,15,141,170,2.13,131,1.64,39,https://fm-base.co.uk/resources/6090/download?file=579255,Will1981,Hiding in the Shadows,4-2-3-1,22.4.1,3 February 2022
4,https://beta.fm-base.co.uk/tactics/22.4.1/kaka-cant-dance-433-580033-6108,63.13,19.38,17.50,2.07,101,31,28,331,445,2.78,250,1.56,195,72.50,8.75,18.75,2.36,58,7,15,189,245,3.06,93,1.16,152,53.75,30.00,16.25,1.77,43,24,13,142,200,2.50,157,1.96,43,https://fm-base.co.uk/resources/6108/download?file=580033,bridle28,Kaka Cant Dance 433,4-1-2-3,22.4.1,11 February 2022
5,https://beta.fm-base.co.uk/tactics/22.4.1/zaz-green-50-586095-6271,63.13,21.25,15.63,2.05,101,34,25,328,413,2.58,219,1.37,194,75.00,11.25,13.75,2.39,60,9,11,191,234,2.92,77,0.96,157,51.25,31.25,17.50,1.71,41,25,14,137,179,2.24,142,1.77,37,https://fm-base.co.uk/resources/6271/download?file=586095,ZaZ,ZaZ - Green 5.0,4-1-2-2-1,22.4.1,22 April 2022
6,https://beta.fm-base.co.uk/tactics/22.4.1/promis9-positive-tiki-taka-tweak-587979-6399,61.25,18.13,20.63,2.04,98,29,33,327,443,2.77,209,1.31,234,73.75,13.75,12.50,2.34,59,11,10,187,246,3.08,85,1.06,161,48.75,22.50,28.75,1.75,39,18,23,140,197,2.46,124,1.55,73,https://fm-base.co.uk/resources/6399/download?file=587979,cucu111,PROMIS9 (Positive Tiki Taka Tweak),4-1-1-3-1,22.4.1,18 May 2022
7,https://beta.fm-base.co.uk/tactics/22.4.1/zaz-blue-40-581445-6134,61.88,20.63,17.50,2.03,99,33,28,325,477,2.98,253,1.58,224,73.75,10.00,16.25,2.38,59,8,13,190,266,3.33,94,1.18,172,50.00,31.25,18.75,1.69,40,25,15,135,211,2.64,159,1.99,52,https://fm-base.co.uk/resources/6134/download?file=581445,ZaZ,ZaZ - Blue 4.0,4-1-3-2,22.4.1,22 February 2022
8,https://beta.fm-base.co.uk/tactics/22.4.1/leopfvclubedos5-zaz-blue-dm-tweak-589301-6477,62.50,21.88,15.63,2.03,100,35,25,325,462,2.89,312,1.95,150,73.75,12.50,13.75,2.35,59,10,11,188,243,3.04,120,1.50,123,51.25,31.25,17.50,1.71,41,25,14,137,219,2.74,192,2.40,27,https://fm-base.co.uk/resources/6477/download?file=589301,leopfv,LeoPFV_Clube_dos_5_( ZaZ - Blue DM Tweak ),4-1-2-3,22.4.1,21 May 2022
9,https://beta.fm-base.co.uk/tactics/22.4.1/attacking-4-2-3-1-with-striker-focus-v2-572794-5954,61.25,19.38,19.38,2.03,98,31,31,325,412,2.58,225,1.41,187,77.50,8.75,13.75,2.46,62,7,11,197,244,3.05,87,1.09,157,45.00,30.00,25.00,1.60,36,24,20,128,168,2.10,138,1.73,30,https://fm-base.co.uk/resources/5954/download?file=572794,Blad3,Attacking 4-2-3-1 with Striker focus V2,4-2-3-1,22.4.1,28 December 2021
